2664,-180,14416,-30,-65,217,29.85,0,
2692,-108,14532,-41,-34,198,29.8,0,
2528,-220,4304,-45,-47,214,29.8,0,
2572,-68,14172,-36,-68,221,29.8,0,
2652,-4,14396,-52,-79,210,29.89,0,
2524,-120,14416,-26,-54,214,29.85,0,
2640,-44,14424,-39,-68,183,29.8,0,
2668,-92,14500,-30,-65,220,29.75,0,
2624,-48,14508,-48,-67,192,29.8,0,
2608,-156,14508,-36,-44,192,29.8,0,
2556,-136,14484,-53,-64,215,29.75,0,
2644,-40,14508,-26,-47,182,29.89,0,
2656,-100,14328,-13,-61,215,29.71,0,
2548,-76,14444,-51,-98,197,29.75,0,
2628,-120,14476,-24,-68,208,29.85,0,
2524,-60,14504,-29,-95,200,29.85,0,
2704,-36,14368,-55,-37,242,29.8,0,
2668,-152,14440,-24,-78,229,29.89,0,
2644,-76,14320,-22,-66,178,29.75,0,
2688,-148,14436,-17,-69,212,29.8,0,
2604,-116,14448,-50,-37,224,29.8,0,
2544,-136,14544,-56,-73,210,29.75,0,
2528,-140,14388,-18,-74,204,29.75,0,
2616,-20,14440,1,-57,196,29.71,0,
2652,-144,14536,-35,-72,211,29.75,0,
2682,-88,14464,-50,-47,215,29.8,0,
2608,-36,14392,-15,-62,214,29.8,0,
2660,-64,14420,-19,-66,194,29.8,0,
2620,-88,14388,-17,-49,188,29.75,0,
2720,-112,14392,-51,-55,202,29.75,0,
2768,-9032,11520,-23,-82,214,30.08,1,
2688,-9188,11668,-28,-63,217,30.04,1,
2612,-9072,11748,8,-71,222,29.99,1,
2816,-8996,11744,-26,-100,204,30.04,1,
2752,-9128,11552,-22,-58,198,29.99,1,
2768,-9080,11580,-32,-26,205,29.99,1,
2820,-9132,11560,-17,-40,229,29.99,1,
2728,-8956,11664,-1,-36,218,30.04,1,
2700,-8884,11704,-57,-50,205,29.99,1,
2732,-8904,11836,-18,-48,217,29.99,1,
2632,-8912,11712,-20,-63,208,29.94,1,
2748,-9036,11576,-52,-60,215,30.04,1,
2792,-8992,11712,-23,-36,193,30.08,1,
2700,-8908,11460,-11,-48,208,30.04,1,
2752,-8976,11704,-34,-49,213,29.99,1,
2704,-8968,11788,-10,-61,238,29.89,1,
2708,-8908,11668,-22,-28,196,30.04,1,
2736,-8928,11808,-16,-30,215,29.99,1,
2840,-8972,11776,-10,-50,226,30.04,1,
2760,-8928,11724,-30,-29,216,29.99,1,
2752,-8876,11724,-23,-34,221,29.99,1,
2624,-8812,11808,-20,-80,182,29.99,1,
2712,-8964,11816,-33,-52,211,30.04,1,
2756,-8884,11828,-26,-22,233,30.04,1,
2840,-8932,11712,-20,-40,217,29.89,1,
2796,-8932,11688,-49,-46,186,29.94,1,
2716,-8832,11780,-24,-53,199,29.89,1,
2708,-8888,11860,-29,-70,231,29.99,1,
2840,-8932,11964,-23,-66,186,29.99,1,
2728,-8892,11740,-33,-98,210,29.89,1,
,,,,,,,,
